Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017]
Kyrgyzstan,KGZ,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,68.41738875
Lao PDR,LAO,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,58.18188586
Latin America & Caribbean (ICP),LCB,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,78.35457927
Latvia,LVA,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,102.5588454
Lebanon,LBN,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Lesotho,LSO,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,59.39857139
Liberia,LBR,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,55.0879002
Libya,LBY,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Lithuania,LTU,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,86.6620894
Luxembourg,LUX,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,141.1242817
"Macao SAR, China",MAC,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Madagascar,MDG,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,33.00611131
Malawi,MWI,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,49.24097727
Malaysia,MYS,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,39.30298481
Maldives,MDV,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,50.5801574
Mali,MLI,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,67.26719775
Malta,MLT,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,101.6223692
Marshall Islands,MHL,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Mauritania,MRT,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,38.50712156
Mauritius,MUS,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,86.66093823
Mexico,MEX,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,63.31325467
"Micronesia, Federated States of",FSM,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Middle East & North Africa (ICP),MEB,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,64.50464563
Moldova,MDA,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,64.37143309
Mongolia,MNG,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,46.15802313
